MassParameter,LagrangePoint,ZAmplitude,JacobiConstant,Period,Rx,Ry,Rz,Vx,Vy,Vz
5.150042821704204e-5,1,0.0,3.0054023555621026,3.0245669324259365,0.9715477782897245,0.0,0.0,0.0,0.02202763564208645,0.0
5.150042821704204e-5,1,1.0e-6,3.0053857732596665,3.0265746128369653,0.9715004917971574,0.0,1.1234237447102516e-6,0.0,0.022451574170640944,0.0
5.150042821704204e-5,1,2.0e-6,3.0053857732351696,3.0265746125281243,0.9715004918088456,0.0,2.2468474924452553e-6,0.0,0.022451574423020905,0.0
5.150042821704204e-5,1,3.0e-6,3.005385773194341,3.0265746120133894,0.9715004918283265,0.0,3.3702712462297617e-6,0.0,0.02245157484365328,0.0
5.150042821704204e-5,1,4.0e-6,3.005385773137181,3.0265746112927467,0.9715004918555993,0.0,4.493695009088522e-6,0.0,0.02245157543254274,0.0
5.150042821704204e-5,1,5.0e-6,3.005385773063689,3.0265746103662066,0.971500491890664,0.0,5.61711878404629e-6,0.0,0.022451576189685366,0.0
5.150042821704204e-5,1,6.0e-6,3.005385772973867,3.0265746092337777,0.9715004919335212,0.0,6.7405425741278145e-6,0.0,0.022451577115080855,0.0
5.150042821704204e-5,1,7.0e-6,3.0053857728677125,3.026574607895445,0.9715004919841707,0.0,7.863966382357847e-6,0.0,0.022451578208730828,0.0
5.150042821704204e-5,1,8.0e-6,3.005385772745227,3.0265746063512045,0.9715004920426118,0.0,8.987390211761136e-6,0.0,0.02245157947063783,0.0
5.150042821704204e-5,1,9.0e-6,3.0053857726064095,3.026574604601086,0.9715004921088457,0.0,1.0110814065362432e-5,0.0,0.02245158090079323,0.0
5.150042821704204e-5,1,1.0e-5,3.0053857724512607,3.026574602645059,0.9715004921828718,0.0,1.1234237946186488e-5,0.0,0.02245158249920488,0.0
5.150042821704204e-5,1,1.1e-5,3.0053857722797814,3.0265746004831384,0.9715004922646899,0.0,1.2357661857258045e-5,0.0,0.022451584265869847,0.0
5.150042821704204e-5,1,1.2e-5,3.00538577209197,3.026574598115322,0.9715004923543005,0.0,1.348108580160186e-5,0.0,0.02245158620078795,0.0
5.150042821704204e-5,1,1.3e-5,3.0053857718878274,3.026574595541614,0.9715004924517034,0.0,1.4604509782242672e-5,0.0,0.022451588303957118,0.0
5.150042821704204e-5,1,1.4e-5,3.005385771667353,3.0265745927619916,0.9715004925568986,0.0,1.5727933802205235e-5,0.0,0.02245159057538393,0.0
5.150042821704204e-5,1,1.5e-5,3.0053857714305474,3.0265745897764744,0.9715004926698859,0.0,1.6851357864514283e-5,0.0,0.022451593015063567,0.0
5.150042821704204e-5,1,1.6e-5,3.0053857711774103,3.026574586585076,0.9715004927906657,0.0,1.7974781972194575e-5,0.0,0.022451595622992464,0.0
