MassParameter,LagrangePoint,ZAmplitude,JacobiConstant,Period,Rx,Ry,Rz,Vx,Vy,Vz
4.3656030885501246e-5,1,0.0,3.0048472372582578,3.0274146486807467,0.9730614026161295,0.0,0.0,0.0,0.02084430144392563,0.0
4.3656030885501246e-5,1,1.0e-6,3.0048315530931706,3.029529943257741,0.9730140737239429,0.0,1.1235799775837485e-6,0.0,0.021267898594369644,0.0
4.3656030885501246e-5,1,2.0e-6,3.0048315530687386,3.0295299429014912,0.9730140737364149,0.0,2.247159958537473e-6,0.0,0.02126789885990689,0.0
4.3656030885501246e-5,1,3.0e-6,3.0048315530280196,3.0295299423077786,0.9730140737572012,0.0,3.3707399462311502e-6,0.0,0.021267899302461743,0.0
4.3656030885501246e-5,1,4.0e-6,3.004831552971012,3.0295299414765595,0.973014073786302,0.0,4.494319944034755e-6,0.0,0.021267899922042224,0.0
4.3656030885501246e-5,1,5.0e-6,3.0048315528977176,3.029529940407847,0.9730140738237172,0.0,5.617899955318265e-6,0.0,0.021267900718646687,0.0
4.3656030885501246e-5,1,6.0e-6,3.004831552808135,3.0295299391016663,0.9730140738694473,0.0,6.741479983451653e-6,0.0,0.02126790169226941,0.0
4.3656030885501246e-5,1,7.0e-6,3.0048315527022647,3.029529937557976,0.9730140739234916,0.0,7.865060031804895e-6,0.0,0.021267902842918865,0.0
4.3656030885501246e-5,1,8.0e-6,3.004831552580107,3.0295299357768117,0.9730140739858506,0.0,8.988640103747965e-6,0.0,0.021267904170587115,0.0
4.3656030885501246e-5,1,9.0e-6,3.0048315524416607,3.029529933758132,0.9730140740565241,0.0,1.011222020265084e-5,0.0,0.02126790567528339,0.0
4.3656030885501246e-5,1,1.0e-5,3.0048315522869276,3.0295299315019917,0.9730140741355124,0.0,1.1235800331883489e-5,0.0,0.021267907356996036,0.0
4.3656030885501246e-5,1,1.1e-5,3.004831552115906,3.029529929008346,0.973014074222815,0.0,1.2359380494815883e-5,0.0,0.02126790921573442,0.0
4.3656030885501246e-5,1,1.2e-5,3.004831551928597,3.0295299262772093,0.9730140743184321,0.0,1.3482960694817998e-5,0.0,0.021267911251496227,0.0
4.3656030885501246e-5,1,1.3e-5,3.004831551725,3.029529923308593,0.9730140744223642,0.0,1.4606540935259803e-5,0.0,0.021267913464276728,0.0
4.3656030885501246e-5,1,1.4e-5,3.004831551505115,3.0295299201024743,0.9730140745346108,0.0,1.573012121951127e-5,0.0,0.02126791585408247,0.0
4.3656030885501246e-5,1,1.5e-5,3.004831551268943,3.029529916658873,0.973014074655172,0.0,1.6853701550942362e-5,0.0,0.02126791842090852,0.0
4.3656030885501246e-5,1,1.6e-5,3.004831551016483,3.0295299129777615,0.9730140747840473,0.0,1.797728193292305e-5,0.0,0.021267921164761106,0.0
4.3656030885501246e-5,1,1.7e-5,3.0048315507477357,3.029529909059179,0.9730140749212379,0.0,1.91008623688233e-5,0.0,0.021267924085631447,0.0
4.3656030885501246e-5,1,1.8e-5,3.0048315504626997,3.0295299049030966,0.9730140750667428,0.0,2.0224442862013075e-5,0.0,0.021267927183525284,0.0
4.3656030885501246e-5,1,1.9e-5,3.004831550161377,3.029529900509527,0.9730140752205624,0.0,2.134802341586234e-5,0.0,0.021267930458440557,0.0
4.3656030885501246e-5,1,2.0e-5,3.0048315498437663,3.0295298958784724,0.973014075382697,0.0,2.2471604033741054e-5,0.0,0.021267933910375375,0.0
4.3656030885501246e-5,1,2.1e-5,3.004831549509868,3.0295298910099198,0.973014075553146,0.0,2.3595184719019178e-5,0.0,0.021267937539333204,0.0
4.3656030885501246e-5,1,2.2e-5,3.00483154915968,3.02952988590387,0.9730140757319101,0.0,2.4718765475066677e-5,0.0,0.021267941345313738,0.0
4.3656030885501246e-5,1,2.3e-5,3.0048315487932067,3.029529880560343,0.9730140759189886,0.0,2.5842346305253497e-5,0.0,0.02126794532831236,0.0
4.3656030885501246e-5,1,2.4e-5,3.004831548410445,3.0295298749793127,0.9730140761143823,0.0,2.6965927212949598e-5,0.0,0.02126794948833407,0.0
4.3656030885501246e-5,1,2.5e-5,3.0048315480113947,3.029529869160794,0.9730140763180907,0.0,2.8089508201524928e-5,0.0,0.02126795382537606,0.0
4.3656030885501246e-5,1,2.6e-5,3.004831547596058,3.0295298631047682,0.9730140765301133,0.0,2.921308927434945e-5,0.0,0.021267958339441714,0.0
4.3656030885501246e-5,1,2.7e-5,3.0048315471644327,3.029529856811274,0.9730140767504515,0.0,3.0336670434793103e-5,0.0,0.021267963030523224,0.0
4.3656030885501246e-5,1,2.8e-5,3.00483154671652,3.0295298502802614,0.9730140769791041,0.0,3.146025168622583e-5,0.0,0.02126796789863005,0.0
4.3656030885501246e-5,1,2.9e-5,3.004831546252319,3.0295298435117775,0.9730140772160722,0.0,3.258383303201758e-5,0.0,0.021267972943752114,0.0
4.3656030885501246e-5,1,3.0e-5,3.004831545771831,3.0295298365057963,0.9730140774613549,0.0,3.37074144755383e-5,0.0,0.02126797816589493,0.0
4.3656030885501246e-5,1,3.1e-5,3.0048315452750547,3.029529829262302,0.9730140777149525,0.0,3.4830996020157936e-5,0.0,0.021267983565062546,0.0
4.3656030885501246e-5,1,3.2e-5,3.004831544761991,3.029529821781342,0.9730140779768653,0.0,3.59545776692464e-5,0.0,0.02126798914124391,0.0
4.3656030885501246e-5,1,3.3e-5,3.004831544232639,3.0295298140628604,0.9730140782470927,0.0,3.707815942617365e-5,0.0,0.021267994894449797,0.0
4.3656030885501246e-5,1,3.4e-5,3.0048315436869997,3.0295298061068956,0.9730140785256357,0.0,3.8201741294309596e-5,0.0,0.0212680008246722,0.0
4.3656030885501246e-5,1,3.5e-5,3.0048315431250727,3.0295297979134292,0.9730140788124938,0.0,3.9325323277024176e-5,0.0,0.021268006931915318,0.0
4.3656030885501246e-5,1,3.6e-5,3.0048315425468584,3.029529789482485,0.9730140791076667,0.0,4.044890537768733e-5,0.0,0.02126801321617357,0.0
4.3656030885501246e-5,1,3.7e-5,3.0048315419523557,3.0295297808140313,0.9730140794111551,0.0,4.157248759966895e-5,0.0,0.021268019677452673,0.0
4.3656030885501246e-5,1,3.8e-5,3.0048315413415656,3.0295297719080923,0.9730140797229587,0.0,4.2696069946338996e-5,0.0,0.021268026315748055,0.0
4.3656030885501246e-5,1,3.9e-5,3.004831540714487,3.029529762764646,0.9730140800430773,0.0,4.381965242106735e-5,0.0,0.021268033131064262,0.0
4.3656030885501246e-5,1,4.0e-5,3.004831540071122,3.029529753383707,0.9730140803715113,0.0,4.4943235027223947e-5,0.0,0.021268040123397763,0.0
4.3656030885501246e-5,1,4.1e-5,3.0048315394114686,3.0295297437652615,0.9730140807082606,0.0,4.606681776817868e-5,0.0,0.021268047292749188,0.0
4.3656030885501246e-5,1,4.2e-5,3.0048315387355267,3.0295297339093397,0.9730140810533255,0.0,4.719040064730146e-5,0.0,0.021268054639114436,0.0
4.3656030885501246e-5,1,4.3e-5,3.0048315380432977,3.0295297238159002,0.9730140814067054,0.0,4.8313983667962205e-5,0.0,0.021268062162501343,0.0
4.3656030885501246e-5,1,4.4e-5,3.004831537334782,3.0295297134849695,0.9730140817684011,0.0,4.9437566833530804e-5,0.0,0.021268069862902268,0.0
4.3656030885501246e-5,1,4.5e-5,3.0048315366099767,3.0295297029165322,0.9730140821384119,0.0,5.056115014737716e-5,0.0,0.02126807774032246,0.0
4.3656030885501246e-5,1,4.6e-5,3.004831535868884,3.029529692110604,0.9730140825167387,0.0,5.168473361287114e-5,0.0,0.02126808579475597,0.0
4.3656030885501246e-5,1,4.7e-5,3.004831535111505,3.0295296810671775,0.9730140829033808,0.0,5.280831723338267e-5,0.0,0.021268094026206108,0.0
4.3656030885501246e-5,1,4.8e-5,3.004831534337837,3.029529669786259,0.9730140832983388,0.0,5.393190101228161e-5,0.0,0.02126810243466928,0.0
4.3656030885501246e-5,1,4.9e-5,3.0048315335478817,3.029529658267822,0.973014083701612,0.0,5.505548495293785e-5,0.0,0.021268111020152074,0.0
4.3656030885501246e-5,1,5.0e-5,3.004831532741638,3.029529646511884,0.9730140841132013,0.0,5.617906905872125e-5,0.0,0.021268119782649267,0.0
4.3656030885501246e-5,1,5.1e-5,3.0048315319191072,3.029529634518462,0.9730140845331067,0.0,5.73026533330017e-5,0.0,0.021268128722157144,0.0
4.3656030885501246e-5,1,5.2e-5,3.004831531080289,3.0295296222875234,0.9730140849613274,0.0,5.8426237779149085e-5,0.0,0.021268137838683254,0.0
4.3656030885501246e-5,1,5.3e-5,3.0048315302251827,3.029529609819093,0.973014085397864,0.0,5.954982240053322e-5,0.0,0.021268147132221246,0.0
4.3656030885501246e-5,1,5.4e-5,3.004831529353789,3.029529597113152,0.9730140858427168,0.0,6.067340720052402e-5,0.0,0.021268156602773508,0.0
4.3656030885501246e-5,1,5.5e-5,3.004831528466107,3.0295295841697074,0.9730140862958856,0.0,6.179699218249129e-5,0.0,0.02126816625033928,0.0
4.3656030885501246e-5,1,5.6e-5,3.004831527562138,3.0295295709887626,0.9730140867573702,0.0,6.292057734980491e-5,0.0,0.02126817607491765,0.0
4.3656030885501246e-5,1,5.7e-5,3.00483152664188,3.029529557570313,0.973014087227171,0.0,6.404416270583473e-5,0.0,0.02126818607650826,0.0
4.3656030885501246e-5,1,5.8e-5,3.004831525705335,3.029529543914344,0.9730140877052876,0.0,6.516774825395056e-5,0.0,0.02126819625511463,0.0
4.3656030885501246e-5,1,5.9e-5,3.0048315247525026,3.029529530020901,0.9730140881917214,0.0,6.629133399752227e-5,0.0,0.021268206610724694,0.0
4.3656030885501246e-5,1,6.0e-5,3.0048315237833823,3.029529515889926,0.9730140886864705,0.0,6.741491993991968e-5,0.0,0.021268217143353255,0.0
4.3656030885501246e-5,1,6.1e-5,3.004831522797974,3.0295295015214547,0.9730140891895366,0.0,6.853850608451261e-5,0.0,0.0212682278529896,0.0
4.3656030885501246e-5,1,6.2e-5,3.004831521796278,3.029529486915487,0.973014089700919,0.0,6.96620924346709e-5,0.0,0.021268238739634383,0.0
4.3656030885501246e-5,1,6.3e-5,3.0048315207782945,3.0295294720719785,0.9730140902206176,0.0,7.078567899376432e-5,0.0,0.021268249803296165,0.0
4.3656030885501246e-5,1,6.4e-5,3.004831519744023,3.0295294569909927,0.9730140907486328,0.0,7.190926576516274e-5,0.0,0.021268261043962313,0.0
4.3656030885501246e-5,1,6.5e-5,3.004831518693464,3.029529441672488,0.9730140912849647,0.0,7.303285275223593e-5,0.0,0.021268272461638187,0.0
4.3656030885501246e-5,1,6.6e-5,3.0048315176266174,3.029529426116472,0.973014091829613,0.0,7.415643995835371e-5,0.0,0.02126828405632507,0.0
4.3656030885501246e-5,1,6.7e-5,3.0048315165434825,3.029529410322938,0.9730140923825783,0.0,7.528002738688583e-5,0.0,0.021268295828020988,0.0
4.3656030885501246e-5,1,6.8e-5,3.0048315154440606,3.029529394291914,0.9730140929438602,0.0,7.640361504120215e-5,0.0,0.02126830777672124,0.0
4.3656030885501246e-5,1,6.9e-5,3.0048315143283504,3.0295293780233585,0.973014093513459,0.0,7.75272029246724e-5,0.0,0.021268319902432685,0.0
4.3656030885501246e-5,1,7.0e-5,3.004831513196352,3.029529361517306,0.9730140940913748,0.0,7.865079104066635e-5,0.0,0.021268332205148746,0.0
4.3656030885501246e-5,1,7.1e-5,3.004831512048067,3.029529344773723,0.9730140946776074,0.0,7.977437939255383e-5,0.0,0.021268344684875647,0.0
