MassParameter,LagrangePoint,ZAmplitude,JacobiConstant,Period,Rx,Ry,Rz,Vx,Vy,Vz
3.003480593992993e-6,1,0.0,3.0008286142598344,3.057037166436106,0.9889069589528534,0.0,0.0,0.0,0.008529372360506582,0.0
3.003480593992993e-6,1,1.0e-6,3.0008245273009706,3.0602425297769678,0.9888763869294023,0.0,1.1252336037326524e-6,0.0,0.00879818737058246,0.0
3.003480593992993e-6,1,2.0e-6,3.000824527277208,3.060242526968899,0.9888763869628663,0.0,2.250467227103328e-6,0.0,0.008798187990388564,0.0
3.003480593992993e-6,1,3.0e-6,3.0008245272376035,3.060242522288743,0.9888763870186397,0.0,3.375700889750047e-6,0.0,0.008798189023399947,0.0
3.003480593992993e-6,1,4.0e-6,3.0008245271821576,3.0602425157365665,0.9888763870967225,0.0,4.500934611310825e-6,0.0,0.008798190469613835,0.0
3.003480593992993e-6,1,5.0e-6,3.0008245271108698,3.0602425073122483,0.9888763871971146,0.0,5.626168411423667e-6,0.0,0.008798192329037172,0.0
3.003480593992993e-6,1,6.0e-6,3.000824527023741,3.060242497015966,0.9888763873198165,0.0,6.751402309726568e-6,0.0,0.00879819460165703,0.0
3.003480593992993e-6,1,7.0e-6,3.0008245269207703,3.060242484847582,0.988876387464828,0.0,7.876636325857507e-6,0.0,0.008798197287482233,0.0
3.003480593992993e-6,1,8.0e-6,3.0008245268019573,3.0602424708071068,0.9888763876321489,0.0,9.001870479454452e-6,0.0,0.008798200386511832,0.0
3.003480593992993e-6,1,9.0e-6,3.0008245266673024,3.0602424548946088,0.9888763878217797,0.0,1.0127104790155341e-5,0.0,0.008798203898739629,0.0
3.003480593992993e-6,1,1.0e-5,3.0008245265168068,3.060242437110017,0.9888763880337204,0.0,1.1252339277598102e-5,0.0,0.00879820782417132,0.0
3.003480593992993e-6,1,1.1e-5,3.0008245263504696,3.0602424174533502,0.9888763882679713,0.0,1.237757396142062e-5,0.0,0.008798212162802114,0.0
3.003480593992993e-6,1,1.2e-5,3.00082452616829,3.0602423959245812,0.9888763885245321,0.0,1.3502808861260769e-5,0.0,0.008798216914635337,0.0
3.003480593992993e-6,1,1.3e-5,3.000824525970269,3.060242372523749,0.9888763888034033,0.0,1.462804399675638e-5,0.0,0.008798222079663852,0.0
