MassParameter,LagrangePoint,ZAmplitude,JacobiConstant,Period,Rx,Ry,Rz,Vx,Vy,Vz
3.2271548760451657e-7,1,0.0,3.0001884923500266,3.067790305289647,0.9947153604918691,0.0,0.0,0.0,0.004052940170205446,0.0
3.2271548760451657e-7,1,1.0e-6,3.0001874492655043,3.071378130630502,0.9946988543121756,0.0,1.1258473612112647e-6,0.0,0.00419714494995342,0.0
3.2271548760451657e-7,1,2.0e-6,3.000187449241979,3.0713781171444485,0.9946988543848236,0.0,2.2516948086230975e-6,0.0,0.004197146232773332,0.0
3.2271548760451657e-7,1,3.0e-6,3.00018744920277,3.0713780946676024,0.9946988545059029,0.0,3.377542428436013e-6,0.0,0.004197148370808114,0.0
3.2271548760451657e-7,1,4.0e-6,3.000187449147878,3.0713780632002825,0.994698854675416,0.0,4.503390306850414e-6,0.0,0.004197151364041553,0.0
3.2271548760451657e-7,1,5.0e-6,3.0001874490773033,3.0713780227420204,0.9946988548933606,0.0,5.629238530066543e-6,0.0,0.004197155212491403,0.0
3.2271548760451657e-7,1,6.0e-6,3.0001874489910443,3.0713779732930777,0.9946988551597394,0.0,6.7550871842844184e-6,0.0,0.00419715991613973,0.0
3.2271548760451657e-7,1,7.0e-6,3.0001874488891014,3.0713779148532785,0.994698855474552,0.0,7.88093635570379e-6,0.0,0.004197165474989109,0.0
3.2271548760451657e-7,1,8.0e-6,3.000187448771476,3.0713778474227076,0.9946988558378,0.0,9.00678613052408e-6,0.0,0.0041971718890277095,0.0
3.2271548760451657e-7,1,9.0e-6,3.000187448638167,3.0713777710011136,0.9946988562494834,0.0,1.0132636594944326e-5,0.0,0.004197179158259784,0.0
3.2271548760451657e-7,1,1.0e-5,3.0001874484891737,3.071377685588646,0.9946988567096047,0.0,1.125848783516313e-5,0.0,0.004197187282667983,0.0
3.2271548760451657e-7,1,1.1e-5,3.000187448324498,3.071377591185261,0.9946988572181639,0.0,1.2384339937378595e-5,0.0,0.004197196262247381,0.0
